"";"country_name";"id_eu27";"id_ext";"id_eu_ext";"model";"crop";"x";"y";"soybean_area";"mean_Ya_pred";"sd_Ya_pred";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"40";"France";1;0;1;"pca.m.2";"maize";-0,75;43,25;2255,53496404727;16074,404777573;1895,01316459931;14715,4846110327;14714,5749606628;18638,6004930877;14243,7761190361;13871,1914808786;14589,73458475;18393,1420535843;15633,3468747391;16196,0364480485;16550,6667013585;15877,1163197665;20410,7807223795;15180,8450559766;14509,5026603995;20630,988566773;16477,0966750592;14116,9715944361;16289,276649444;16252,8168859414;14241,1432092225;17184,7375902072;14856,2144031198;14861,3928462556;17350,2771555939
"41";"France";1;0;1;"pca.m.2";"maize";-0,75;43,75;2237,19462371509;14063,5251366761;1371,45289047188;13643,3798171105;11141,2508057575;15293,0736027058;14876,9707091267;12900,627739237;14540,6876803159;15628,7787981556;13224,9162605869;13579,6659475481;15012,6210372107;13071,1275478251;14372,031891568;14113,9631278345;13452,4483207761;17028,1356287508;11630,5354839099;13671,4153284738;14163,3941959649;14052,1888915144;13707,790529394;14814,7131164367;12201,5443761205;15131,8583573729;16271,484086529
"42";"France";1;0;1;"pca.m.2";"maize";-0,75;44,25;2218,67978707193;14583,1254629357;1143,02449798315;14199,5537508629;12428,4124395109;14750,2048581065;16656,2466979132;13804,4890260197;14873,5270096129;15837,9683111159;13132,374264454;14140,1984904417;15470,2883242108;14534,8933127506;14679,147782475;15146,5796619488;13880,9616010112;15693,1821534565;12374,8251486883;12592,9357719888;15143,2537306493;14914,9560938103;14842,2692055506;15520,6174036985;14013,6039742051;15144,3922690474;16220,1298289266
"43";"France";1;0;1;"pca.m.2";"maize";-0,75;44,75;2199,99173994308;14505,283558752;1199,49962906592;14380,4066781103;12041,9404302659;15884,3160043251;15028,0042178631;12880,5934323665;14510,781489526;14761,4914678559;13846,8927288763;14890,9977671156;15349,1817398045;13945,0162371958;13638,9890252701;15627,8065471447;15014,5443151391;15122,8736849947;13035,2572027956;13274,3956024847;11854,0151214329;15452,4136867439;16252,5435703318;15642,5050974435;14821,3080739406;15222,2748143068;15648,2564747148
"44";"France";1;0;1;"pca.m.2";"maize";-0,75;45,25;2181,13178421313;14008,62223309;1369,01373034775;14748,7244779107;11784,4788939034;15396,7532841554;14203,7773798303;12731,78317355;12317,7354573412;13674,7881254098;13762,1830918425;15432,3016253013;14405,2481829712;13467,6922726452;13374,168539145;15803,8827765184;15554,6145536069;13840,2542316284;12893,2759110831;12611,7436965452;10633,5853101937;14647,5683721894;15487,0140818359;15392,4083914135;14279,0830370305;13940,8429044386;15823,0258236695
"45";"France";1;0;1;"pca.m.2";"maize";-0,75;45,75;2162,10123781024;13357,6700995927;1789,55206025155;14464,6669198443;11552,2058856143;15992,4788505425;13607,0206271158;11831,8085317096;10132,396631275;13427,7847359167;13889,6525884882;15280,2266293622;13669,6559003333;12426,9521093126;12950,9299649565;16134,57562741;15789,6768752267;13628,1895560072;11904,2433662252;11939,2273905809;9948,41806209345;12291,7356009969;15305,4363656117;14560,4745743306;11624,5279327548;12641,5740720156;15590,2235925013
"46";"France";1;0;1;"pca.m.2";"maize";-0,75;46,25;2142,90143469067;13360,7392306954;1793,26955462423;15032,4020798151;12329,6661243184;16361,2154538574;12421,1649235806;12443,6898520096;10583,8635654834;13334,2388664447;14956,0304944454;15874,2000862198;13446,7355528345;12262,0302858198;12546,8572700277;16196,5951958787;15355,9158853031;14467,4925301655;13437,3789475237;12302,2698528886;9974,32951725645;11162,5579974459;15228,3123818391;13184,073447435;11763,9365998834;11596,3237509166;14396,4608752977
"47";"France";1;0;1;"pca.m.2";"maize";-0,75;46,75;2123,53372481628;13677,9428093043;1974,94987034103;15428,1547814382;14219,9469703513;17383,8434337333;11820,3080776612;11362,5660745295;10699,0885644146;13700,0160742591;15687,4649017454;15594,3820139649;15256,1102374169;12613,1334235736;13101,1874798058;16141,4043374627;15365,730321916;14414,9732854942;14035,1702058983;13533,2832642005;9796,78553137072;12071,9584142679;15572,5289369;13656,7030989574;13731,103712958;10257,9073283931;12826,8769525898
"48";"France";1;0;1;"pca.m.2";"maize";-0,75;47,25;2103,99947413153;13520,3082471341;1795,64012907843;15219,8052628392;13062,8430476549;16814,4015956106;11410,2928544188;11869,082261251;11850,3444976475;13729,52449704;15181,5712564707;15123,6272990428;14100,5821815099;12610,4051270989;13150,1594610386;15832,5351185027;14756,5246828209;14762,3889524276;13778,6765815949;13174,639955868;10035,0630494265;11309,0992203327;14819,031068871;13592,1587784445;15608,3492715114;10243,8050479857;12452,4868618101
"49";"France";1;0;1;"pca.m.2";"maize";-0,75;47,75;2084,30006453592;13967,8057109569;1464,78646855855;14650,3751721827;14404,0169737853;16503,2214503563;12207,1338339725;12724,215421279;13226,4128708882;13647,5367326963;15523,3687754944;14994,110537739;14548,1325678732;12839,8412852874;13480,1722290323;15826,9739768074;14627,0235028086;15698,0948888193;14093,2809358371;13261,747647804;11452,9069692239;11677,3130343253;15273,5334418966;13860,5305942917;16105,910297608;11656,8593582354;12944,6245647228
"50";"France";1;0;1;"pca.m.2";"maize";-0,75;48,25;2064,43689385315;15048,0650018953;922,639254211577;14241,2611955812;14761,9548768409;16379,1530966779;13536,2276486776;14849,3545346685;14970,8176754478;14237,6448144472;15203,8200544195;14539,6852545638;15767,1405921306;14230,8204216903;15550,4102669644;15154,4259282004;15526,695940108;16674,9438785731;15669,271237169;14390,4247238359;14071,6960874089;13374,6612446606;15839,6119331374;16151,9919419223;16496,2157255186;14132,1055899179;15403,2253829249
"51";"France";1;0;1;"pca.m.2";"maize";-0,75;48,75;2044,4113757966;15457,6472535007;859,043405771999;14815,9633913164;15260,5181168735;16491,1465741224;14664,71752038;15436,9621655421;15524,7023929449;14830,2999148142;15084,0502134115;15136,3955533541;15940,1914009746;14538,1770309678;16276,9919042107;14767,7556996125;15137,2381914549;16677,4429180943;16229,5562194723;14338,0466170702;14879,430385898;13947,5931501971;15212,1320585064;17356,2635014325;16794,737735094;15516,3212986077;16126,9001296648
"52";"France";1;0;1;"pca.m.2";"maize";-0,75;49,25;2024,22493993271;16327,5081558532;720,564003262605;17611,5330658895;16530,6207335906;16781,3722011935;15120,2556585036;16008,2270901429;16348,9616502423;16124,3198667525;16728,9024173572;16664,4587235543;16956,4337498513;15824,3007857376;14786,1841563541;17340,4232508038;16758,5105678888;16804,4080109479;16410,7838418928;15038,9134313224;15970,6409086338;15458,9980764832;15731,3714519269;16338,906274569;16770,7485303567;16925,1286994369;16825,792597044
"53";"United Kingdom";0;1;1;"pca.m.2";"maize";-0,75;51,25;1941,89916214944;13690,9270571867;663,649949957988;13968,7054399385;13525,9230046646;13817,8107123561;13573,0642462975;13337,3342846464;13556,434954793;14335,8253760513;13568,5727937433;13147,0853625344;13743,646116867;12429,3185539994;12085,458702223;13350,0957722909;13459,5537777855;13925,2871150259;13915,0100886193;13183,998736507;13309,2531977962;13559,1747251689;14168,8800045399;14549,52389224;14261,2674750226;14999,4106840817;14811,6143552874
